draw_date,lottery_name,draw_no,prize_rank,prize_amount,winning_number,source_url
2021-01-12,Sthree Sakthi,AK-526,5,100,2099,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2132,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2186,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2191,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2199,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2203,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2248,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2272,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2312,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2336,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2343,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2499,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2518,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2557,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2565,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2566,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2736,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2811,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2820,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,2900,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,2911,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,2922,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2944,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2968,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,2978,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3061,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,3103,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3107,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3125,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3177,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3185,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3216,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3308,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,3372,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3461,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3466,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,3473,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3533,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
